dimension,group,cells,median,mean,p95,top_5pct_fraction,top_1pct_fraction,top_5pct_enrichment,top_1pct_enrichment
cell_type,Upper rhombic lip,137162,0.49105203,0.49428204,0.6993233978748321,0.029344862279640133,0.010418337440398944,0.5868972455928027,1.0418337440398944
cell_type,Splatter,291833,0.5667774,0.55530167,0.7008834242820738,0.022166787169374265,0.003944036486620773,0.44333574338748527,0.3944036486620773
cell_type,Lower rhombic lip,52650,0.63800144,0.6225982,0.7536816328763962,0.10068376068376068,0.02056980056980057,2.0136752136752136,2.056980056980057
cell_type,Mammillary body,16602,0.5452125,0.5396322,0.6456774592399597,0.0016263100831225153,0.00024093482712926153,0.03252620166245031,0.02409348271292615
cell_type,Thalamic excitatory,85546,0.61138153,0.6053945,0.721902534365654,0.03866925396862507,0.005049914665793842,0.7733850793725013,0.5049914665793842
cell_type,Amygdala excitatory,109452,0.6431874,0.63723916,0.7583504974842071,0.10982896612213573,0.0267057705660929,2.1965793224427146,2.67057705660929
cell_type,Medium spiny neuron,152189,0.5621598,0.56110805,0.6723455786705018,0.010059859779616135,0.002069794794630361,0.2011971955923227,0.20697947946303608
cell_type,Eccentric medium spiny neuron,40144,0.6207002,0.61745214,0.752123698592186,0.08895476285372658,0.023415703467516938,1.7790952570745315,2.341570346751694
cell_type,Miscellaneous,25071,0.5801145,0.522964,0.7304801046848297,0.0513740975629213,0.011646922739420047,1.027481951258426,1.1646922739420047
cell_type,Cerebellar inhibitory,14411,0.5629101,0.5575599,0.6943552494049072,0.01797238220803553,0.0031226146693498023,0.35944764416071057,0.31226146693498025
cell_type,Midbrain-derived inhibitory,126782,0.6099348,0.60504675,0.7476753413677215,0.0787572368317269,0.019994951964789953,1.575144736634538,1.9994951964789953
cell_type,CGE interneuron,227671,0.55895364,0.5519324,0.7062906920909882,0.02733330112311186,0.00547280944872206,0.5466660224622372,0.547280944872206
cell_type,LAMP5-LHX6 and Chandelier,45118,0.61544645,0.60665715,0.7501375764608383,0.08513231969502194,0.020368810674232015,1.7026463939004388,2.0368810674232014
cell_type,MGE interneuron,222434,0.5961738,0.5853203,0.7223458886146545,0.04065026030193226,0.006694120503160488,0.8130052060386451,0.6694120503160488
cell_type,Deep-layer near-projecting,18856,0.60244566,0.59597045,0.7155538499355316,0.031661009758167165,0.005780653372931693,0.6332201951633433,0.5780653372931692
cell_type,Deep-layer corticothalamic and 6b,78396,0.6397883,0.631792,0.7480074614286423,0.08907342211337313,0.017092708811674066,1.7814684422674625,1.7092708811674067
cell_type,Hippocampal CA1-3,74979,0.62500024,0.61658615,0.7272409141063689,0.046879793008709106,0.00802891476280025,0.9375958601741821,0.802891476280025
cell_type,Upper-layer intratelencephalic,455006,0.6341655,0.6262703,0.7435034215450287,0.07755282347925083,0.014160252831830788,1.5510564695850164,1.4160252831830789
cell_type,Deep-layer intratelencephalic,228467,0.6101598,0.6034647,0.7208995699882507,0.037432101791505995,0.005129843697339222,0.7486420358301199,0.5129843697339223
cell_type,Hippocampal dentate gyrus,67533,0.5816174,0.5661112,0.704859983921051,0.02293693453570847,0.0036574711622466053,0.4587386907141694,0.3657471162246605
cell_type,Hippocampal CA4,10654,0.6389307,0.6272789,0.735329681634903,0.06326262436643514,0.008822977285526563,1.2652524873287025,0.8822977285526563
region,Human MoAN,15630,0.54167,0.5275392,0.7140121608972549,0.034612923864363404,0.010108765195137556,0.6922584772872681,1.0108765195137555
region,Human MoSR,7169,0.47663516,0.47350538,0.6806056976318359,0.019668015064862602,0.005858557678895243,0.393360301297252,0.5858557678895243
region,Human PnAN,13698,0.49306816,0.49491283,0.6874667465686798,0.022558037669732807,0.00788436268068331,0.4511607533946561,0.788436268068331
region,Human MoRF-MoEN,14034,0.5810274,0.56933963,0.7193264007568358,0.040188114578879865,0.009690751033205073,0.8037622915775973,0.9690751033205073
region,Human CbDN,23393,0.5195585,0.5173961,0.7069520831108093,0.032744838199461376,0.013038088317017912,0.6548967639892275,1.303808831701791
region,Human IC,28016,0.5751823,0.5562424,0.7147671580314636,0.03444460308395203,0.007638492290119932,0.6888920616790406,0.7638492290119931
region,Human CBV,54741,0.5145815,0.51166356,0.7026707530021667,0.029995798396083375,0.009389671361502348,0.5999159679216675,0.9389671361502347
region,Human IO,10519,0.5041733,0.50423515,0.7104349851608276,0.03213233197071965,0.0075102196026238235,0.6426466394143929,0.7510219602623823
region,Human PnEN,25272,0.591864,0.5781527,0.7203430712223052,0.038461538461538464,0.00795346628679962,0.7692307692307693,0.795346628679962
region,Human PnRF,16190,0.64370644,0.6270172,0.7613103806972503,0.11890055589870291,0.02890673255095738,2.378011117974058,2.890673255095738
region,Human PAG-DR,10688,0.54314405,0.5289625,0.7054593712091445,0.027039670658682635,0.005707335329341317,0.5407934131736527,0.5707335329341318
region,Human LG,40261,0.59843266,0.59401625,0.7292007207870483,0.04997392017088498,0.010158714388614291,0.9994784034176996,1.0158714388614292
region,Human PB,15580,0.57497966,0.5637482,0.7116981714963913,0.03254172015404365,0.006611039794608473,0.6508344030808729,0.6611039794608473
region,Human PN,18286,0.6369915,0.6176345,0.7553175836801529,0.10762331838565023,0.020398118779394073,2.1524663677130045,2.039811877939407
region,Human MN,17416,0.57143295,0.5723243,0.7018861919641495,0.03318787322002756,0.012861736334405145,0.6637574644005512,1.2861736334405145
region,Human CBL,24810,0.51322466,0.51419985,0.7121118307113647,0.036316001612253124,0.011970979443772673,0.7263200322450625,1.1970979443772674
region,Human PAG,16607,0.55697817,0.55369055,0.71258727312088,0.03263683988679472,0.007767808755344132,0.6527367977358944,0.7767808755344132
region,Human SpC,6038,0.59160423,0.57450724,0.7437715590000152,0.07038754554488241,0.019542894998343822,1.4077509108976483,1.9542894998343823
region,Human SEP,20519,0.5732698,0.56601006,0.7125176906585693,0.03206783956333155,0.0059457088552073685,0.6413567912666309,0.5945708855207369
region,Human DGR-CA4Rpy,25671,0.60677665,0.59869516,0.7166809439659119,0.03346188305870437,0.004713489930271513,0.6692376611740875,0.4713489930271513
region,Human GPe,15262,0.57238877,0.569669,0.666994622349739,0.006552221202987813,0.0009828331804481718,0.13104442405975625,0.09828331804481719
region,Human PTR,23590,0.58083844,0.5724196,0.7111588150262832,0.0298007630351844,0.00559559135226791,0.596015260703688,0.559559135226791
region,Human Pul,30508,0.6060747,0.6012919,0.7276680052280425,0.04765963026091517,0.009669594860364495,0.9531926052183034,0.9669594860364494
