dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,398920,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.528731,16.052013,none,0.0,0.0,0.0,0.0
Tabula Sapiens,398922,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4049615,16.002989,none,0.0,0.0,0.0,0.0
Tabula Sapiens,398926,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,8.12256,14.143954,none,0.0,0.0,0.0,0.0
Tabula Sapiens,398947,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.799049,14.421995,none,0.0,0.0,0.0,0.0
Tabula Sapiens,398996,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3858325,15.958363,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399066,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.2791227,16.028433,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399070,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.47851,14.119351,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399186,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3948653,16.017204,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399210,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.2283359,15.901225,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399221,endothelial cell,endothelial cell,mammary gland,Mammary,,,,,11.6425295,13.801594,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399236,endothelial cell,endothelial cell,mammary gland,Mammary,,,,,11.878632,13.231945,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399238,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.7422047,14.273741,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399282,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,8.463331,14.100749,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399336,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.272722,16.068308,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399343,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.735092,14.274105,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399350,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4294789,15.858487,none,0.0,0.0,0.0,0.0
