"atlas","method","panel","group","score","n_cells"
"hbca","SCSE","minimal8","Mammillary body",0.00151965946368182,200
"hbca","SCSE","minimal8","Medium spiny neuron",0.00164440154996105,200
"hbca","SCSE","minimal8","MGE interneuron",0.00177028873757528,200
"hbca","SCSE","minimal8","Midbrain-derived inhibitory",0.00185983743541999,200
"hbca","SCSE","minimal8","Miscellaneous",0.00153559207423178,200
"hbca","SCSE","minimal8","Splatter",0.0015688300764262,200
"hbca","SCSE","minimal8","Thalamic excitatory",0.00163143682687642,200
"hbca","SCSE","minimal8","Upper rhombic lip",0.00236104174631993,200
"hbca","SCSE","minimal8","Upper-layer intratelencephalic",0.00172074752685681,200
"hbca","JASMINE","minimal8","Amygdala excitatory",0.529579042446152,200
"hbca","JASMINE","minimal8","Cerebellar inhibitory",0.408460449778635,200
"hbca","JASMINE","minimal8","CGE interneuron",0.488190121768146,200
"hbca","JASMINE","minimal8","Deep-layer corticothalamic and 6b",0.523248630745637,200
"hbca","JASMINE","minimal8","Deep-layer intratelencephalic",0.488949815761407,200
"hbca","JASMINE","minimal8","Deep-layer near-projecting",0.519935281218236,200
"hbca","JASMINE","minimal8","Eccentric medium spiny neuron",0.49495429786734,200
"hbca","JASMINE","minimal8","Hippocampal CA1-3",0.514572391503207,200
"hbca","JASMINE","minimal8","Hippocampal CA4",0.527123809355712,200
"hbca","JASMINE","minimal8","Hippocampal dentate gyrus",0.469777952201646,200
"hbca","JASMINE","minimal8","LAMP5-LHX6 and Chandelier",0.482986559082527,200
"hbca","JASMINE","minimal8","Lower rhombic lip",0.483541151902083,200
"hbca","JASMINE","minimal8","Mammillary body",0.462499097793547,200
"hbca","JASMINE","minimal8","Medium spiny neuron",0.466244605097633,200
"hbca","JASMINE","minimal8","MGE interneuron",0.469527953728062,200
"hbca","JASMINE","minimal8","Midbrain-derived inhibitory",0.472242894480616,200
"hbca","JASMINE","minimal8","Miscellaneous",0.425818772579246,200
"hbca","JASMINE","minimal8","Splatter",0.454803087219276,200
"hbca","JASMINE","minimal8","Thalamic excitatory",0.476468305769739,200
"hbca","JASMINE","minimal8","Upper rhombic lip",0.445075304564784,200
"hbca","JASMINE","minimal8","Upper-layer intratelencephalic",0.486670256329058,200
"hbca","AUCell","full61","Amygdala excitatory",0.283020809031472,200
"hbca","AUCell","full61","Cerebellar inhibitory",0.24492221507787,200
"hbca","AUCell","full61","CGE interneuron",0.251025429467227,200
"hbca","AUCell","full61","Deep-layer corticothalamic and 6b",0.288189949983214,200
"hbca","AUCell","full61","Deep-layer intratelencephalic",0.278222896193831,200
"hbca","AUCell","full61","Deep-layer near-projecting",0.258972920377146,200
