"atlas","method","panel","group","score","n_cells"
"tabula","AddModuleScore","minimal8","myeloid leukocyte",-0.0201064476618307,200
"tabula","AddModuleScore","minimal8","myofibroblast cell",0.0760539097055332,200
"tabula","AddModuleScore","minimal8","myometrial cell",0.0259747970686811,200
"tabula","AddModuleScore","minimal8","naive thymus-derived CD4-positive, alpha-beta T cell",-0.0244003064221951,200
"tabula","AddModuleScore","minimal8","naive thymus-derived CD8-positive, alpha-beta T cell",-0.020111411195695,200
"tabula","AddModuleScore","minimal8","natural killer cell",-0.0293773948268403,200
"tabula","AddModuleScore","minimal8","neutrophil",-0.020577692137296,200
"tabula","AddModuleScore","minimal8","non-classical monocyte",-0.034539202437252,200
"tabula","AddModuleScore","minimal8","pancreatic acinar cell",-0.014353815844486,200
"tabula","AddModuleScore","minimal8","pancreatic ductal cell",0.0325187528698934,200
"tabula","AddModuleScore","minimal8","paneth cell of epithelium of small intestine",0.00938994187808238,200
"tabula","AddModuleScore","minimal8","pericyte",0.0843282765623124,200
"tabula","AddModuleScore","minimal8","plasma cell",-0.0381128219905702,200
"tabula","AddModuleScore","minimal8","progenitor cell of mammary luminal epithelium",-0.0222817279453918,200
"tabula","AddModuleScore","minimal8","pulmonary alveolar type 1 cell",-0.0437007235757467,200
"tabula","AddModuleScore","minimal8","pulmonary alveolar type 2 cell",-0.0412953653992814,200
"tabula","AddModuleScore","minimal8","regular atrial cardiac myocyte",-0.00301472708171666,200
"tabula","AddModuleScore","minimal8","regulatory T cell",-0.0389433000613158,200
"tabula","AddModuleScore","minimal8","respiratory tract goblet cell",-0.0190093847970878,200
"tabula","AddModuleScore","minimal8","retinal blood vessel endothelial cell",-0.0123797667699922,200
"tabula","AddModuleScore","minimal8","salivary gland cell",-0.0304576125907448,200
"tabula","AddModuleScore","minimal8","skeletal muscle satellite stem cell",0.00369855873244446,200
"tabula","AddModuleScore","minimal8","small intestine goblet cell",0.0115325598496337,200
"tabula","AddModuleScore","minimal8","smooth muscle cell",0.0973511139147097,200
"tabula","AddModuleScore","minimal8","spermatid",-0.0229616350511528,200
"tabula","AddModuleScore","minimal8","spermatocyte",0.0257462115871358,200
"tabula","AddModuleScore","minimal8","stratified squamous epithelial cell",0.00240167045351505,200
"tabula","AddModuleScore","minimal8","stromal cell",-0.000466479834567502,200
"tabula","AddModuleScore","minimal8","stromal cell of ovary",0.00431997056672935,200
"tabula","AddModuleScore","minimal8","T cell",0.0078105178209597,200
"tabula","AddModuleScore","minimal8","theca cell",-0.00065667815381835,200
"tabula","AddModuleScore","minimal8","thymic fibroblast type 1",-0.0196531329998177,200
"tabula","AddModuleScore","minimal8","thymic fibroblast type 2",-0.037460023740617,200
"tabula","AddModuleScore","minimal8","tissue-resident macrophage",-0.00999670666207296,200
"tabula","AddModuleScore","minimal8","vascular associated smooth muscle cell",0.0463193905692643,200
"tabula","AddModuleScore","minimal8","vein endothelial cell",-0.0168184533737184,200
"tabula","AddModuleScore","minimal8","ventricular cardiac muscle cell",-0.00300470779576673,200
"tabula","AddModuleScore","full61","acinar cell",-0.0200969123882489,200
"tabula","AddModuleScore","full61","acinar cell of salivary gland",0.0177822370375355,200
"tabula","AddModuleScore","full61","activated CD4-positive, alpha-beta T cell",0.049302402227473,200
"tabula","AddModuleScore","full61","activated CD8-positive, alpha-beta T cell",0.0721846870214431,200
"tabula","AddModuleScore","full61","adventitial cell",-0.0165078416513759,200
"tabula","AddModuleScore","full61","alveolar adventitial fibroblast",0.0561652775209892,200
"tabula","AddModuleScore","full61","B cell",0.0188043299710279,200
"tabula","AddModuleScore","full61","basal cell",-0.0432512993101843,200
"tabula","AddModuleScore","full61","basal cell of prostate epithelium",0.00206015302423257,200
"tabula","AddModuleScore","full61","basophil",0.071119569609059,200
"tabula","AddModuleScore","full61","BEST4+ enterocyte",0.0664117477212044,200
"tabula","AddModuleScore","full61","bladder urothelial cell",-0.0140772115260083,200
