dataset,source_label,group,group_normalized,gene,n_cells,pct_expressing,mean_expression
HBCA non-neuronal,cell_type,oligodendrocyte precursor cell,oligodendrocyte precursor cell,ADORA2B,105734,0.31683280685493787,0.0033101935405284166
HBCA non-neuronal,cell_type,oligodendrocyte precursor cell,oligodendrocyte precursor cell,ADORA3,105734,0.0,0.0
HBCA non-neuronal,cell_type,pericyte,pericyte,ADORA1,3693,0.37909558624424583,0.0037909557577222586
HBCA non-neuronal,cell_type,pericyte,pericyte,ADORA2A,3693,25.209856485242348,0.3170863687992096
HBCA non-neuronal,cell_type,pericyte,pericyte,ADORA2B,3693,17.84457080963986,0.22041700780391693
HBCA non-neuronal,cell_type,pericyte,pericyte,ADORA3,3693,0.0,0.0
HBCA non-neuronal,cell_type,vascular associated smooth muscle cell,vascular associated smooth muscle cell,ADORA1,1074,0.6517690875232774,0.0074487896636128426
HBCA non-neuronal,cell_type,vascular associated smooth muscle cell,vascular associated smooth muscle cell,ADORA2A,1074,5.21415270018622,0.05865921825170517
HBCA non-neuronal,cell_type,vascular associated smooth muscle cell,vascular associated smooth muscle cell,ADORA2B,1074,1.675977653631285,0.01769087463617325
HBCA non-neuronal,cell_type,vascular associated smooth muscle cell,vascular associated smooth muscle cell,ADORA3,1074,0.0,0.0
HBCA non-neuronal,roi,Human A13,human a13,ADORA1,2279,12.373848179025888,0.14831066131591797
HBCA non-neuronal,roi,Human A13,human a13,ADORA2A,2279,0.7020623080298377,0.007459411863237619
HBCA non-neuronal,roi,Human A13,human a13,ADORA2B,2279,4.036858271171567,0.0500219389796257
HBCA non-neuronal,roi,Human A13,human a13,ADORA3,2279,0.04387889425186486,0.0004387889348436147
HBCA non-neuronal,roi,Human A14,human a14,ADORA1,877,19.84036488027366,0.25313568115234375
HBCA non-neuronal,roi,Human A14,human a14,ADORA2A,877,0.6841505131128849,0.009122006595134735
HBCA non-neuronal,roi,Human A14,human a14,ADORA2B,877,11.972633979475484,0.1687571257352829
HBCA non-neuronal,roi,Human A14,human a14,ADORA3,877,0.0,0.0
HBCA non-neuronal,roi,Human A19,human a19,ADORA1,2886,15.315315315315313,0.18988218903541565
HBCA non-neuronal,roi,Human A19,human a19,ADORA2A,2886,0.693000693000693,0.009009009227156639
HBCA non-neuronal,roi,Human A19,human a19,ADORA2B,2886,4.92030492030492,0.05855855718255043
HBCA non-neuronal,roi,Human A19,human a19,ADORA3,2886,0.0,0.0
HBCA non-neuronal,roi,Human A1C,human a1c,ADORA1,2607,15.304948216340621,0.1860375851392746
HBCA non-neuronal,roi,Human A1C,human a1c,ADORA2A,2607,0.6904487917146145,0.00690448796376586
HBCA non-neuronal,roi,Human A1C,human a1c,ADORA2B,2607,3.64403528960491,0.04296125844120979
HBCA non-neuronal,roi,Human A1C,human a1c,ADORA3,2607,0.0,0.0
HBCA non-neuronal,roi,Human A23,human a23,ADORA1,2409,11.124948111249482,0.1390618532896042
HBCA non-neuronal,roi,Human A23,human a23,ADORA2A,2409,0.45662100456621,0.004981319885700941
HBCA non-neuronal,roi,Human A23,human a23,ADORA2B,2409,5.06434205064342,0.06392694264650345
HBCA non-neuronal,roi,Human A23,human a23,ADORA3,2409,0.0,0.0
HBCA non-neuronal,roi,Human A24,human a24,ADORA1,3653,16.589104845332603,0.21708184480667114
HBCA non-neuronal,roi,Human A24,human a24,ADORA2A,3653,0.8212428141253765,0.008212428539991379
HBCA non-neuronal,roi,Human A24,human a24,ADORA2B,3653,5.611825896523405,0.07336435467004776
HBCA non-neuronal,roi,Human A24,human a24,ADORA3,3653,0.0,0.0
HBCA non-neuronal,roi,Human A25,human a25,ADORA1,2663,14.570033796470147,0.1798723191022873
HBCA non-neuronal,roi,Human A25,human a25,ADORA2A,2663,0.4506196019526849,0.004506195895373821
