atlas,group,n_cells,panel_mean,control_mean,module_score
Tabula Sapiens,"CD8-positive, alpha-beta thymocyte",731,0.31633990660991473,0.2932192614956767,0.02312064511423806
Tabula Sapiens,intestinal tuft cell,448,0.2883404214380896,0.2666883686091408,0.021652052828948776
Tabula Sapiens,alveolar adventitial fibroblast,1113,0.3290279679781768,0.30803879049339195,0.02098917748478485
Tabula Sapiens,large intestine goblet cell,1557,0.28096167689031104,0.26005818878930625,0.020903488101004786
Tabula Sapiens,macrophage,69072,0.3572474140548185,0.3370515214950773,0.020195892559741246
Tabula Sapiens,interstitial cell of Cajal,71,0.3020558944890197,0.2824458111005244,0.019610083388495292
Tabula Sapiens,thymocyte,455,0.32657451520155006,0.3070205216056669,0.019553993595883168
Tabula Sapiens,Mueller cell,506,0.2813934991526633,0.2619724414608117,0.019421057691851595
Tabula Sapiens,enterocyte of epithelium proper of duodenum,13495,0.3015362061541475,0.28373579644618385,0.01780040970796365
Tabula Sapiens,retinal blood vessel endothelial cell,2091,0.33798612468970546,0.3202886973593611,0.01769742733034435
Tabula Sapiens,hematopoietic stem cell,858,0.3156403643786028,0.29809766467913806,0.01754269969946476
Tabula Sapiens,endothelial cell,33703,0.34295684677331556,0.3260942304214311,0.016862616351884463
Tabula Sapiens,oocyte,18,0.32748858425393024,0.3108434228300202,0.016645161423910038
Tabula Sapiens,tuft cell of colon,178,0.2403962321086777,0.22504376983151697,0.015352462277160722
Tabula Sapiens,innate lymphoid cell,971,0.21447962344427887,0.19948563751264736,0.01499398593163151
Tabula Sapiens,endothelial cell of lymphatic vessel,2438,0.32722201714509647,0.31253979483918654,0.014682222305909931
Tabula Sapiens,small intestine goblet cell,2044,0.2826020171948986,0.2680251719588288,0.01457684523606978
Tabula Sapiens,"activated CD4-positive, alpha-beta T cell",572,0.3117598899394768,0.2974924544793019,0.014267435460174893
Tabula Sapiens,enterocyte of epithelium proper of jejunum,405,0.3198019000555527,0.3057101494620453,0.014091750593507424
Tabula Sapiens,Schwann cell,318,0.32729363373487835,0.31468000907240645,0.0126136246624719
Tabula Sapiens,acinar cell of salivary gland,12237,0.2476025165907056,0.23533480432183732,0.012267712268868275
Tabula Sapiens,endothelial cell of venule,52,0.348009256323069,0.335747986085966,0.012261270237102995
Tabula Sapiens,microglial cell,410,0.32945196860578235,0.3205799990904267,0.008871969515355627
Tabula Sapiens,retinal ganglion cell,1,0.372234938574619,0.36530698769281,0.006927950881808975
Tabula Sapiens,"CD4-positive, alpha-beta T cell",97130,0.2963588035874657,0.29167896843689284,0.004679835150572853
Tabula Sapiens,retina horizontal cell,5,0.2709377810603282,0.26631101164006693,0.004626769420261245
Tabula Sapiens,spermatocyte,3070,0.2665668208937615,0.2629520077344624,0.0036148131592990684
Tabula Sapiens,lung multiciliated epithelial cell,1209,0.30707121792543624,0.3037354739682453,0.0033357439571909397
Tabula Sapiens,leukocyte,201,0.1305672160346976,0.12844951406730576,0.002117701967391833
Tabula Sapiens,"naive thymus-derived CD4-positive, alpha-beta T cell",9827,0.29740763053973757,0.2953764233446008,0.002031207195136775
Tabula Sapiens,pulmonary ionocyte,25,0.34826456076175455,0.3468140368869519,0.001450523874802656
Tabula Sapiens,vein endothelial cell,4698,0.32150538070169554,0.3203519873090872,0.0011533933926083373
Tabula Sapiens,endothelial cell of vascular tree,875,0.2202275634922035,0.2211928086445552,-0.000965245152351718
Tabula Sapiens,supporting cell of vestibular epithelium,270,0.3039561672035535,0.3050884002956683,-0.0011322330921147983
Tabula Sapiens,adipocyte,39,0.11783880960100739,0.11909668419769504,-0.0012578745966876498
Tabula Sapiens,spermatogonium,64,0.3119092340138359,0.3135564362756665,-0.0016472022618305715
Tabula Sapiens,keratocyte,1001,0.3222744563250162,0.32417674214899017,-0.0019022858239739482
Tabula Sapiens,plasmacytoid dendritic cell,99,0.3353497787093579,0.3381145576911512,-0.002764778981793281
Tabula Sapiens,enterocyte of epithelium proper of small intestine,1415,0.166904091799804,0.16997746730331428,-0.0030733755035102783
Tabula Sapiens,enterocyte of epithelium of large intestine,4567,0.20748542679334708,0.21065042708262904,-0.0031650002892819606
Tabula Sapiens,duct epithelial cell,3889,0.3072562169643973,0.31193114473013867,-0.004674927765741355
Tabula Sapiens,paneth cell of epithelium of small intestine,1853,0.30326890155008385,0.31042599305664065,-0.007157091506556801
Tabula Sapiens,"CD4-positive, alpha-beta thymocyte",4685,0.2789126226565312,0.2882457073618235,-0.00933308470529226
Tabula Sapiens,serous cell of epithelium of bronchus,15,0.22424258657634424,0.23428694187993673,-0.01004435530359249
Tabula Sapiens,hematopoietic cell,100,0.2598398346295122,0.26994413578172316,-0.010104301152210948
Tabula Sapiens,slow muscle cell,174,0.170581044532697,0.18085326249242784,-0.010272217959730823
Tabula Sapiens,transit amplifying cell of small intestine,34,0.24059107426415657,0.2516817772185476,-0.011090702954391046
Tabula Sapiens,erythroid lineage cell,2,0.015225555534001256,0.027795469522983462,-0.012569913988982205
Tabula Sapiens,fibroblast of breast,5270,0.30595223701262325,0.3187729040566923,-0.012820667044069034
Tabula Sapiens,regular atrial cardiac myocyte,5816,0.32308963648683087,0.33693966790897745,-0.01385003142214658
Tabula Sapiens,tendon cell,420,0.27415428770386896,0.2883965042606323,-0.014242216556763332
Tabula Sapiens,multiciliated columnar cell of tracheobronchial tree,713,0.2676415122784033,0.28432942431233094,-0.01668791203392761
Tabula Sapiens,regulatory T cell,2649,0.28911135314091374,0.30706101751801124,-0.017949664377097496
Tabula Sapiens,thymic fibroblast type 1,3270,0.2909091313388668,0.3105958344085568,-0.019686703069690004
Tabula Sapiens,epithelial cell of uterus,1417,0.26579831908870566,0.2856277100690495,-0.019829390980343864
Tabula Sapiens,fibroblast,83338,0.29835306869452277,0.3181946704167664,-0.01984160172224364
Tabula Sapiens,basal cell of prostate epithelium,3495,0.321364070102057,0.34158408113320077,-0.020220011031143792
Tabula Sapiens,erythrocyte,14611,0.030001784371710923,0.050281726334574936,-0.020279941962864013
Tabula Sapiens,fast muscle cell,495,0.19651882883536362,0.21701191803981773,-0.020493089204454112
Tabula Sapiens,intestinal crypt stem cell of small intestine,587,0.2760782306734592,0.296626582591949,-0.020548351918489804
Tabula Sapiens,intrahepatic cholangiocyte,665,0.2844097936254797,0.30518189566400794,-0.02077210203852825
Tabula Sapiens,kidney epithelial cell,9278,0.269987645606648,0.2910507166194356,-0.021063071012787593
Tabula Sapiens,medullary thymic epithelial cell,43,0.3002858960101316,0.3215282461849905,-0.02124235017485887
Tabula Sapiens,stromal cell,3458,0.2231338778160568,0.24619981551346237,-0.02306593769740556
Tabula Sapiens,glandular secretory epithelial cell,235,0.2810514062263635,0.30485828253533764,-0.023806876308974156
Tabula Sapiens,ciliated epithelial cell,320,0.297613738901812,0.32180219601597476,-0.024188457114162787
Tabula Sapiens,transit amplifying cell of colon,237,0.27909986708284107,0.3034260047154234,-0.024326137632582345
Tabula Sapiens,ventricular cardiac muscle cell,2599,0.2775810880356451,0.3024350756066524,-0.02485398757100732
Tabula Sapiens,ovarian surface epithelial cell,241,0.2818237843569582,0.308455475764226,-0.026631691407267788
Tabula Sapiens,unknown,9,0.2544807778380452,0.2811266122774288,-0.02664583443938362
Tabula Sapiens,acinar cell,1345,0.08836596316118599,0.11518843032200418,-0.026822467160818195
Tabula Sapiens,pulmonary alveolar type 2 cell,11594,0.3041549945479268,0.3312238267568251,-0.027068832208898275
Tabula Sapiens,luminal cell of prostate epithelium,10652,0.2532234231504708,0.2811659438674945,-0.02794252071702369
Tabula Sapiens,hepatocyte,7414,0.2272868753885467,0.2558410127134646,-0.028554137324917905
Tabula Sapiens,ionocyte,160,0.31729549845894345,0.346155056247548,-0.02885955778860455
Tabula Sapiens,pancreatic acinar cell,5482,0.1508517464044158,0.18079263835305343,-0.029940891948637638
Tabula Sapiens,intestinal crypt stem cell of colon,1732,0.27431603747354466,0.30497401665407564,-0.03065797918053098
Tabula Sapiens,eye photoreceptor cell,1536,0.24482958149580003,0.2762181216487769,-0.031388540152976874
Tabula Sapiens,vestibular dark cell,49,0.23958927100320532,0.2710590029644932,-0.03146973196128788
Tabula Sapiens,retinal pigment epithelial cell,67,0.2063258961494807,0.23977005642324092,-0.03344416027376024
Tabula Sapiens,B cell,114495,0.2660618140915342,0.29981972905930887,-0.033757914967774694
Tabula Sapiens,thymic fibroblast type 2,4205,0.29437861718772296,0.3284625036052873,-0.034083886417564324
Tabula Sapiens,mesenchymal stem cell,23499,0.2925934724535866,0.32736248149413305,-0.03476900904054647
Tabula Sapiens,bladder urothelial cell,27241,0.3007751099686258,0.33565030875566804,-0.03487519878704226
Tabula Sapiens,conjunctival epithelial cell,11087,0.2897053865642687,0.32482876932843174,-0.03512338276416305
Tabula Sapiens,mesenchymal stem cell of adipose tissue,3777,0.27156494461860436,0.3077248246326814,-0.03615988001407705
Tabula Sapiens,mesothelial cell,350,0.28563698109743174,0.32181706320095904,-0.0361800821035273
Tabula Sapiens,club cell,1747,0.29859165742163585,0.3365328441723822,-0.03794118675074637
Tabula Sapiens,epithelial cell,1675,0.24660483290672242,0.28465824711189996,-0.03805341420517755
Tabula Sapiens,connective tissue cell,152,0.2733857427740581,0.31159972638376215,-0.03821398360970407
Tabula Sapiens,melanocyte,234,0.2723750065985491,0.3108827650205813,-0.038507758422032246
Tabula Sapiens,serous cell of epithelium of trachea,326,0.22493260847836397,0.2634578628558876,-0.03852525437752366
Tabula Sapiens,paneth cell of colon,217,0.20736085823752562,0.2462772395013681,-0.038916381263842476
Tabula Sapiens,myo-medullary thymic epithelial cell,77,0.2535109352863721,0.2925707053232024,-0.03905977003683031
Tabula Sapiens,theca cell,1038,0.3176136939429021,0.3583210775393669,-0.04070738359646475
Tabula Sapiens,salivary gland cell,850,0.2641950848886497,0.30617118323527015,-0.04197609834662047
Tabula Sapiens,tracheal goblet cell,232,0.13049919582794012,0.17295680319798273,-0.042457607370042616
Tabula Sapiens,pulmonary alveolar type 1 cell,3116,0.30084377521806305,0.3433973405437767,-0.04255356532571364
Tabula Sapiens,stromal cell of ovary,35003,0.24281465163269733,0.2854526651712436,-0.04263801353854629
Tabula Sapiens,muscle cell,406,0.18306989512954344,0.22594574500619002,-0.04287584987664658
Tabula Sapiens,adventitial cell,1045,0.23786550357695868,0.28316438442921427,-0.045298880852255585
Tabula Sapiens,erythroid progenitor cell,971,0.2535271456797238,0.30250778790380956,-0.04898064222408577
Tabula Sapiens,tongue muscle cell,202,0.22682526361259792,0.2772987695549722,-0.050473505942374264
Tabula Sapiens,respiratory tract goblet cell,1040,0.2541576221247772,0.3071591021613682,-0.053001480036591
