gene,var_index,n_cells_total,n_cells_positive,pct_cells_positive,mean_expression_all_cells,mean_expression_positive_cells,high_threshold,n_cells_high,pct_cells_high
ADORA1,10955,888263,149577,16.839269450601904,0.21937647461891174,1.3027671575546265,1.0,149577,16.839269450601904
ADORA2A,5975,888263,5904,0.6646680093620921,0.0071161356754601,1.0706300735473633,1.0,5904,0.6646680093620921
ADORA2B,12741,888263,21336,2.401991302125609,0.02933928370475769,1.2214566469192505,1.0,21336,2.401991302125609
ADORA3,54612,888263,100,0.011257926987840313,0.00011370506399543956,1.0099999904632568,1.0,100,0.011257926987840313
