atlas,group,n_cells,receptor,Gi_alpha,adenylyl_cyclase,PKA,cAMP_downstream_CREB,Gbg_GIRK,Gbg_Ca_channels,PLC_PKC_Ca,NFkB,PI3K_MAPK,NO_cGMP,combined
Tabula Sapiens,pancreatic PP cell,2,0.0,0.3959188006723983,0.016879675537347788,0.29731917306780814,0.02106246799230571,0.48109914287924765,1.0475929975509644,0.24112040391059797,-0.12944573238492013,0.10437554200297089,-0.03233570350067957,0.2221442516116401
Tabula Sapiens,pancreatic A cell,48,-0.0076876063831150514,0.378548440326964,0.10889768376170347,0.037015284189126585,-0.32029292769730094,0.5971757103106939,1.264609696615177,0.33498584341595955,-0.10967692886479191,0.05940788724202367,-0.007898797866489185,0.2122803895499955
Tabula Sapiens,enteroendocrine cell,25,-0.0054678599238395685,0.22997128810309153,-0.056846119046211244,0.08946214178204531,-0.3874528215527534,0.3629353660494089,1.3545226698815822,0.2623013314840891,0.033176814049482306,-0.03618001395423026,-0.0424003405911582,0.16400204148013697
Tabula Sapiens,neuro-medullary thymic epithelial cell,135,0.06257065792878469,0.10455441180384328,0.14001514218471667,0.0868193401672222,-0.3229173645929053,0.1544872477098748,0.8070928216753183,0.2424200766046551,-0.06946686370505231,0.03048850992140867,0.268493230713423,0.1367779282192081
Tabula Sapiens,retinal bipolar neuron,61,0.08701712746844917,0.16792310182214665,0.20809472250317027,0.18654716467774918,-0.21829417813263974,0.21903079613798954,0.3010629617654887,0.40299044982854776,-0.16577303432172438,-0.014610917147022007,0.11596889028765163,0.11726882589907336
Tabula Sapiens,type B pancreatic cell,102,-0.005180136454017722,0.2118680673845798,0.01035309441789399,0.09032787273887521,-0.329354865118569,0.19808426776389573,0.9101849353908763,0.2765028528027156,-0.1417368987282994,0.034117520216095765,-0.006704457330123523,0.11349656846217479
Tabula Sapiens,type L enteroendocrine cell,44,-0.007503092642979358,0.13901370982837774,-0.019655116732147607,-0.053160491980838054,-0.44884291220117684,0.006770428537195339,1.3575217352841389,0.1274401244888671,0.1397669121453708,-0.09044480335183591,0.014290690395070915,0.10592701670636756
Tabula Sapiens,enteroendocrine cell of small intestine,264,-0.007850980519486421,0.07849384810258242,-0.004662317480225206,-0.09419053708462718,-0.35179684489513874,0.36167672954175173,1.008042736526554,0.18548167437101692,-0.08069552683064657,-0.05185772144533668,0.06540382193356477,0.10073135292909173
Tabula Sapiens,platelet,494,-0.005975706078138518,0.04634345561904166,0.00674579371113768,0.8349613375540896,-0.4671907533699202,0.008036220243185576,0.03488194432971162,0.596696601318232,-0.15844941181300376,-0.014120822197707217,0.21698541619580852,0.09990127959203972
Tabula Sapiens,pancreatic D cell,9,-0.007617784539858501,0.25446497348206626,-0.02862217446996107,0.08522766937536219,-0.4306888242562612,0.24323873983489144,0.8513614191363255,0.29719467942210503,-0.18883758270078232,-0.0002189503689981609,0.008892177199087456,0.09858130382854334
Tabula Sapiens,male germ cell,116,0.019221643358469008,0.061692963542505364,0.14131579257323051,0.1081538634353329,-0.006568686201654739,0.009799574723402996,0.7520920812152326,-0.033743453765690434,-0.1689433071376949,0.05039685405270872,0.0184749753879649,0.08653566374398246
Tabula Sapiens,mononuclear phagocyte,5336,0.0005228219032402791,0.14320644265076032,-0.02015944166469644,-0.0032584877958966585,-0.30996671591283576,-0.0042879940061091686,-0.007679096234025872,0.04664375194391468,1.1549505603381025,0.025260897373415858,-0.14599219779709935,0.07993095825443366
Tabula Sapiens,neutrophil,69539,-0.0004317185704719997,0.22414676207355444,-0.014257811440778773,-0.0007711578104721006,-0.057449913258044494,-0.005888785038697429,0.00720914255140186,0.14434081861284376,0.5148733457234095,0.19162929995342687,-0.13538491992313184,0.07891046026118542
Tabula Sapiens,Langerhans cell,76,-0.004360135671633639,0.05080736063245178,0.018815661449097163,0.0015278373326158556,-0.2533331247928895,-0.006160509039182216,-0.03060697907211235,-0.11728334680004632,1.1240981431740742,0.07576180749431682,-0.12194085188262088,0.06702962389309736
Tabula Sapiens,mature NK T cell,5394,-0.0046680875987914,-0.006162318242695086,-0.025415413012634173,0.09090505205261434,-0.15971961567744009,-0.00525685311538973,0.007494685899959091,0.18135207377884688,0.6910525933101438,0.029507768471983886,-0.07841780010899259,0.06551564415978227
Tabula Sapiens,taste receptor cell,32,0.14860737640410662,-0.00030008151160576535,0.01574835116625764,0.05596210679116967,0.031306795636191986,-0.023100589081877843,0.40604977807961407,0.05424093819177517,-0.010829666897188867,-0.02417536770989659,0.06319309473370337,0.06515479416384086
Tabula Sapiens,colon macrophage,328,0.013310160783755524,0.06034077594970688,-0.023782127616017,0.03939441364602564,-0.2777988604565219,0.00413143564991315,0.022188264891014026,0.05782584223684606,0.9138626893389212,-0.019481085412626886,-0.12722633903816125,0.06025137908844141
Tabula Sapiens,mural cell,618,6.841784071864518e-05,-0.03326542624502454,0.19409638053527917,0.1267168026582478,-0.38812816249851656,-0.01303352251859223,0.12893796211939673,0.21460595169381036,-0.14026700278810406,-0.07138373395288888,0.5987604887459393,0.05610074141729689
Tabula Sapiens,myeloid leukocyte,1002,0.011991284549712183,0.03297606409431858,-0.014430997496890927,-0.02431870742824299,-0.3810331471011549,0.004999980829403311,0.019468505057448633,0.07228384162516843,0.9107022667054585,0.01008795774838911,-0.12502733730597648,0.0470636101161485
Tabula Sapiens,granulocyte,769,0.0003697006733844642,0.07901995853781679,-0.010633104745394303,-0.05828869744457513,-0.2831307926591879,0.013833016164700613,0.019685381954815603,0.06168813789885502,0.666498759209426,0.12368690316623016,-0.11132454843863812,0.0455822467561303
Tabula Sapiens,monocyte,25753,0.0007283213119208174,0.17570027585073034,-0.013640731375411275,0.0274027004437008,-0.29927706330538995,-0.0030415250548901,0.00889944426652594,0.2010892434587519,0.4794843844329066,0.06354729532418285,-0.14669995254582008,0.04492658116429163
