dataset,field,label,n_cells,pct_cells
hbca_non_neuronal,roi,Human CEN,12647,1.4237900261521643
hbca_non_neuronal,roi,Human VLN,12582,1.4164723736100682
hbca_non_neuronal,roi,Human Cla,12236,1.3775199462321408
hbca_non_neuronal,roi,Human MoAN,11580,1.3036679451919082
hbca_non_neuronal,roi,Human IO,11015,1.2400606577106104
hbca_non_neuronal,roi,Human MN,10739,1.2089887792241711
hbca_non_neuronal,roi,Human PnAN,9651,1.0865025335964684
hbca_non_neuronal,roi,Human MoRF-MoEN,9086,1.0228952461151708
hbca_non_neuronal,roi,Human LG,8595,0.9676188246048749
hbca_non_neuronal,roi,Human PB,8575,0.9653672392073068
hbca_non_neuronal,roi,Human TH-TL,8423,0.9482551901857896
hbca_non_neuronal,roi,Human CM-Pf,8333,0.9381230558967333
hbca_non_neuronal,roi,Human DTg,8080,0.9096405006174972
hbca_non_neuronal,roi,Human CA1R-CA2R-CA3R,7010,0.7891806818476059
hbca_non_neuronal,roi,Human CM,6909,0.7778101755898872
hbca_non_neuronal,roi,Human MoSR,6454,0.7265866077952138
hbca_non_neuronal,roi,Human M1C,6320,0.7115009856315078
hbca_non_neuronal,roi,Human ANC,6272,0.7060971806773444
hbca_non_neuronal,roi,Human CA1U-CA2U-CA3U,5917,0.6661315398705113
hbca_non_neuronal,roi,Human SI,4835,0.5443207698620791
hbca_non_neuronal,roi,Human BM,4806,0.5410559710356054
hbca_non_neuronal,roi,Human Pir,4755,0.535314428271807
hbca_non_neuronal,roi,Human BL,4596,0.5174143243611408
hbca_non_neuronal,roi,Human VPL,4553,0.5125734157563695
hbca_non_neuronal,roi,Human CA1C-CA3C,4448,0.5007525924191372
hbca_non_neuronal,roi,Human MD-Re,4439,0.49973937899023146
hbca_non_neuronal,roi,Human La,4420,0.49760037286254183
hbca_non_neuronal,roi,Human VA,4310,0.48521665317591745
hbca_non_neuronal,roi,Human IC,4290,0.48296506777834947
hbca_non_neuronal,roi,Human CMN,3966,0.44648938433774676
hbca_non_neuronal,roi,Human A43,3796,0.4273509084584183
hbca_non_neuronal,roi,Human MG,3691,0.41553008512118594
hbca_non_neuronal,roi,Human Pu,3675,0.4137288168031315
hbca_non_neuronal,roi,Human BNST,3656,0.41158981067544187
hbca_non_neuronal,roi,Human A24,3653,0.4112520728658067
hbca_non_neuronal,roi,Human Ig,3617,0.40719921915018414
hbca_non_neuronal,roi,Human MEC,3480,0.3917758591768429
hbca_non_neuronal,roi,Human PAG-DR,3406,0.3834449932058411
hbca_non_neuronal,roi,Human MD,3396,0.38231920050705703
hbca_non_neuronal,roi,Human CA3R,3276,0.36880968812164866
hbca_non_neuronal,roi,Human Idg,3241,0.36486941367590453
hbca_non_neuronal,roi,Human CBL,3218,0.36228009046870124
hbca_non_neuronal,roi,Human A38,3165,0.35631338916514593
hbca_non_neuronal,roi,Human A46,3136,0.3530485903386722
hbca_non_neuronal,roi,Human A40,3050,0.34336677312912955
hbca_non_neuronal,roi,Human HTHso,3013,0.3392013401436286
hbca_non_neuronal,roi,Human V2,2982,0.33571138277739815
hbca_non_neuronal,roi,Human RN,2973,0.3346981693484925
hbca_non_neuronal,roi,Human ITG,2911,0.32771825461603155
hbca_non_neuronal,roi,Human A19,2886,0.3249037728690714
hbca_non_neuronal,roi,Human LEC,2878,0.3240031387100442
hbca_non_neuronal,roi,Human V1C,2872,0.32332766309077376
hbca_non_neuronal,roi,Human CaB,2787,0.3137584251511095
hbca_non_neuronal,roi,Human Pro,2760,0.31071878486439264
hbca_non_neuronal,roi,Human A5-A7,2758,0.31049362632463584
hbca_non_neuronal,roi,Human SC,2741,0.308579778736703
hbca_non_neuronal,roi,Human S1C,2726,0.30689108968852696
hbca_non_neuronal,roi,Human NAC,2720,0.3062156140692565
hbca_non_neuronal,roi,Human A25,2663,0.2997985956861875
hbca_non_neuronal,roi,Human A1C,2607,0.293494156572997
hbca_non_neuronal,roi,Human A44-A45,2555,0.28764003453932
hbca_non_neuronal,roi,Human TF,2486,0.2798720649177102
hbca_non_neuronal,roi,Human Gpe,2478,0.27897143075868297
hbca_non_neuronal,roi,Human CoA,2476,0.27874627221892617
hbca_non_neuronal,roi,Human A29-A30,2427,0.2732298879948844
hbca_non_neuronal,roi,Human A23,2409,0.2712034611370731
hbca_non_neuronal,roi,Human FI,2338,0.2632103329757065
hbca_non_neuronal,roi,Human PTR,2285,0.25724363167215114
hbca_non_neuronal,roi,Human A13,2279,0.2565681560528807
hbca_non_neuronal,roi,Human HTHma-HTHtub,2211,0.2489127657011493
hbca_non_neuronal,roi,Human HTHtub,2166,0.24384669855662117
hbca_non_neuronal,roi,Human ETH,2048,0.23056234471096962
hbca_non_neuronal,roi,Human HTHpo-HTHso,2019,0.22729754588449594
hbca_non_neuronal,roi,Human A32,2016,0.22695980807486074
hbca_non_neuronal,roi,Human AON,1967,0.22144342385081897
hbca_non_neuronal,roi,Human A35-A36,1948,0.21930441772312928
hbca_non_neuronal,roi,Human HTHpo,1722,0.1938615027306102
hbca_non_neuronal,roi,Human CA1R-CA2R,1569,0.1766368744392145
hbca_non_neuronal,roi,Human HTHso-HTHtub,1247,0.1403863495383687
hbca_non_neuronal,roi,Human CA2U-CA3U,1185,0.1334064348059077
hbca_non_neuronal,roi,Human HTHma,1074,0.12091013584940495
hbca_non_neuronal,roi,Human A14,877,0.09873201968335955
hbca_non_neuronal,roi,Human CA1-3,814,0.09163952568102014
hbca_non_neuronal,roi,Human A35-36,72,0.008105707431245026
hbca_non_neuronal,supercluster_term,Oligodendrocyte,490246,55.19153674080762
hbca_non_neuronal,supercluster_term,Astrocyte,155025,17.452601312899446
hbca_non_neuronal,supercluster_term,Oligodendrocyte precursor,105734,11.903456521323076
hbca_non_neuronal,supercluster_term,Microglia,91838,10.339054987092787
hbca_non_neuronal,supercluster_term,Vascular,9932,1.1181373084322999
hbca_non_neuronal,supercluster_term,Fibroblast,9156,1.030775795006659
hbca_non_neuronal,supercluster_term,Bergmann glia,8041,0.9052499090922395
hbca_non_neuronal,supercluster_term,Choroid plexus,7689,0.8656220060950417
hbca_non_neuronal,supercluster_term,Ependymal,5882,0.6621912654247673
hbca_non_neuronal,supercluster_term,Committed oligodendrocyte precursor,4720,0.5313741538260628
hbca_non_neuronal,tissue,cerebral nuclei,150926,16.99113888566787
hbca_non_neuronal,tissue,cerebral cortex,148874,16.76012622387739
hbca_non_neuronal,tissue,thalamic complex,130419,14.682475798271458
hbca_non_neuronal,tissue,midbrain,121456,13.673427802351332
hbca_non_neuronal,tissue,hippocampal formation,109980,12.381468101226776
hbca_non_neuronal,tissue,pons,97127,10.934486745479662
hbca_non_neuronal,tissue,cerebellum,49003,5.516721961851389
hbca_non_neuronal,tissue,myelencephalon,38135,4.293210456812903
hbca_non_neuronal,tissue,hypothalamus,24191,2.72340511762845
hbca_non_neuronal,tissue,spinal cord,18152,2.0435389068327736
