collection,organism,gene,n_expressing,total,group,n_cells,pct_expressing,mean_all,mean_expressing
census_spatial_sequencing,homo_sapiens,GNAO1,5,5.0,chest wall,9362,0.05340739158299509,0.0005340739158299509,1.0
census_spatial_sequencing,homo_sapiens,GNAO1,1,2.0,vasculature,6142,0.0162813415825464,0.00032562683165092806,2.0
census_spatial_sequencing,homo_sapiens,GNAO1,18,18.0,axilla,66262,0.027164890887688267,0.0002716489088768827,1.0
census_spatial_sequencing,homo_sapiens,GNAO1,7,7.0,immune system,26917,0.02600586989634803,0.0002600586989634803,1.0
census_spatial_sequencing,homo_sapiens,KCNJ3,14461,18688.0,heart,362184,3.9927219313939877,0.05159808274247344,1.2923034368300947
census_spatial_sequencing,homo_sapiens,KCNJ3,3429,4892.0,liver,158148,2.1682221716366947,0.030933050054379442,1.4266550014581512
census_spatial_sequencing,homo_sapiens,KCNJ3,22215,26572.0,kidney,1037593,2.1410129019760156,0.025609270687061304,1.1961287418410984
census_spatial_sequencing,homo_sapiens,KCNJ3,2391,3865.0,breast,165577,1.4440411409797254,0.023342614010399994,1.616478460895023
census_spatial_sequencing,homo_sapiens,KCNJ3,3504,4028.0,lung,275274,1.2729135334248785,0.014632693243822518,1.1495433789954337
census_spatial_sequencing,homo_sapiens,KCNJ3,694,732.0,colon,69888,0.9930173992673993,0.010473901098901098,1.0547550432276658
census_spatial_sequencing,homo_sapiens,KCNJ3,376,418.0,hindlimb,39936,0.9415064102564102,0.010466746794871794,1.1117021276595744
census_spatial_sequencing,homo_sapiens,KCNJ3,88,90.0,intestine,9984,0.8814102564102564,0.009014423076923076,1.0227272727272727
census_spatial_sequencing,homo_sapiens,KCNJ3,56,57.0,chest wall,9362,0.598162785729545,0.00608844264046144,1.0178571428571428
census_spatial_sequencing,homo_sapiens,KCNJ3,107,110.0,large intestine,19968,0.5358573717948718,0.005508814102564103,1.02803738317757
census_spatial_sequencing,homo_sapiens,KCNJ3,43,44.0,small intestine,9984,0.4306891025641026,0.004407051282051282,1.0232558139534884
census_spatial_sequencing,homo_sapiens,KCNJ3,10,10.0,skeletal system,4992,0.20032051282051283,0.002003205128205128,1.0
