dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,1064172,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.2498493,11.759193,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064188,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.330915,11.04828,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064234,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.470031,10.809839,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064238,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.630099,14.792591,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064262,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.6830419,13.280681,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064267,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,9.204023,10.516372,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064308,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.20598,12.199377,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064319,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.8212595,14.702944,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064326,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.70175725,13.449468,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064330,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.873474,14.545376,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064331,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.7927495,13.659252,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064339,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.9486136,14.620487,none,0.0,0.0,0.0,0.0
