dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,1062809,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.3344707,11.486426,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1062849,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.524515,10.970609,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1062896,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.1624937,11.661575,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1062905,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.635261,11.067805,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1062907,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.2586913,11.741082,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1062919,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,8.41299,11.659879,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1062921,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.344335,11.039668,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1062925,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.92279565,13.499658,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1062939,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,6.826882,12.010258,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1062942,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.486305,10.933636,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1062978,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.74206,10.862149,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063009,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.640001,11.215453,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063019,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,7.5682893,11.425978,none,0.0,0.0,0.0,0.0
